id,name,host_id,host_name,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,beds,price,availability_365,number_of_reviews,review_scores_rating
198258,Rental unit in Barking · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,967537,Ryan,14-08-2011,"Barking, United Kingdom",100%,75%,0,1,1,Barking and Dagenham,Private room,1,1,$67.00,363,41,4.74
33332,"Home in  St Margaret's, Isleworth · ★4.40 · 1 bedroom · 1 bed · 1 private bath",144444,Chi-Chi,14-06-2010,"Isleworth, United Kingdom",N/A,N/A,0,2,0,Richmond upon Thames,Private room,2,1,$140.00,365,20,4.4
42010,Home in East Finchley · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,157884,Agri & Roger,04-07-2010,"London, United Kingdom",100%,100%,1,4,1,Barnet,Private room,2,1,$65.00,208,556,4.88
284603,Rental unit in London · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,1481851,Tania,07-12-2011,"London, United Kingdom",N/A,100%,0,2,1,Kensington and Chelsea,Entire home/apt,3,1,$297.00,0,6,4.83
89870,Rental unit in London · ★4.65 · 1 bedroom · 1 bed · 1 bath,54730,Alina,16-11-2009,"London, United Kingdom",90%,85%,0,5,1,Islington,Entire home/apt,4,1,$149.00,357,133,4.65
326146,Rental unit in London · 1 bedroom · 1 bed,1667975,Inma,29-01-2012,"London, United Kingdom",N/A,N/A,0,2,0,Waltham Forest,Private room,2,1,$120.00,0,0,
96052,Condo in London · ★4.82 · 2 bedrooms · 1 bed · 1 shared bath,448154,Aneta,17-03-2011,"London, United Kingdom",100%,90%,1,2,1,Brent,Private room,2,1,$52.00,352,80,4.82
381467,Rental unit in London · ★4.66 · 2 bedrooms · 2 beds · 1.5 baths,1913410,Thanos,13-03-2012,"London, United Kingdom",N/A,N/A,0,7,1,Kensington and Chelsea,Entire home/apt,4,2,$143.00,0,265,4.66
390987,Home in London · ★4.73 · 8 bedrooms · 1 bed · 1 shared bath,1955537,Ali,18-03-2012,"London, United Kingdom",100%,88%,1,6,1,Lambeth,Private room,2,1,$41.00,334,12,4.73
394755,Rental unit in London · 2 bedrooms · 2 beds · 1.5 baths,1973515,Lara,20-03-2012,"London, United Kingdom",N/A,N/A,0,1,0,Camden,Entire home/apt,2,2,$80.00,0,1,5
468438,Townhouse in London · ★4.58 · 1 bedroom · 1 bed · 1 shared bath,2324518,Alison,08-05-2012,"London, United Kingdom",N/A,N/A,0,3,1,Islington,Private room,2,1,$30.00,0,237,4.58
475700,Loft in London · ★4.86 · 1 bedroom · 1 bed · 1 bath,2358441,Jane,13-05-2012,"London, United Kingdom",N/A,N/A,0,1,1,Camden,Private room,2,1,$95.00,0,7,4.86
117203,Rental unit in London · ★4.86 · 1 bedroom · 1 bed · 1 bath,255103,Olga,06-10-2010,"London, United Kingdom",100%,91%,1,1,1,Hammersmith and Fulham,Entire home/apt,2,1,$136.00,13,86,4.86
565770,Cabin in Hounslow · ★4.42 · 1 bedroom · 4 beds · 1 bath,1958273,Mandeep,18-03-2012,"London, United Kingdom",100%,93%,0,6,1,Hounslow,Entire home/apt,4,4,$50.00,350,254,4.42
493679,Rental unit in Greater London · 2 bedrooms · 2 beds · 1 bath,423121,Olivia,04-03-2011,"London, United Kingdom",N/A,N/A,0,1,1,Tower Hamlets,Entire home/apt,6,2,$140.00,0,2,5
569402,Home in London · ★4.75 · 5 bedrooms · 9 beds · 3 baths,2802762,Dominic,02-07-2012,"London, United Kingdom",N/A,N/A,0,1,0,Lewisham,Entire home/apt,12,9,$300.00,0,8,4.75
501837,Rental unit in London · ★4.50 · 2 bedrooms · 2 beds · 1 bath,2476271,Michael,27-05-2012,"London, United Kingdom",100%,100%,0,2,1,Camden,Entire home/apt,4,2,$124.00,162,137,4.5
571906,Home in London · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,375971,Cathy,03-02-2011,"London, United Kingdom",N/A,50%,0,1,1,Waltham Forest,Private room,2,1,$76.00,363,23,4.81
502190,Townhouse in London · ★4.60 · 1 bedroom · 1 bed · 1 private bath,2478162,Agnes,27-05-2012,"London, United Kingdom",N/A,N/A,0,1,1,Camden,Private room,3,1,$50.00,0,548,4.6
821334,Rental unit in London · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,4309270,Liana /Lilly,03-12-2012,"London, United Kingdom",N/A,100%,0,2,1,Lambeth,Private room,2,1,$60.00,0,130,4.83
573374,Home in Beckenham · 1 bedroom · 3 beds · 1 bath,2821391,Kim,03-07-2012,"Beckenham, United Kingdom",100%,N/A,0,2,1,Bromley,Private room,4,3,$200.00,365,0,
834616,Home in London · ★4.84 · 1 bedroom · 2 beds · 1 private bath,4365977,Alexandra,09-12-2012,"London, United Kingdom",90%,78%,1,5,1,Ealing,Private room,2,2,$43.00,0,259,4.84
843488,Rental unit in London · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,1965214,Tamzin,18-03-2012,"London, United Kingdom",100%,55%,1,2,1,Kensington and Chelsea,Private room,2,1,$90.00,53,8,4.88
592844,Home in Barnet · 1 bedroom · 1 bed · 1 bath,2926478,Sam,13-07-2012,,N/A,N/A,0,1,0,Barnet,Private room,2,1,,0,0,
874463,Rental unit in London · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,4616179,Rhiannon,07-01-2013,"London, United Kingdom",90%,85%,1,4,1,Hackney,Private room,2,1,$53.00,296,100,4.82
726882,Serviced apartment in London · ★4.52 · 1 bedroom · 1 bed · 1 shared bath,2608240,Zdenka & Luis,11-06-2012,"London, United Kingdom",100%,98%,1,10,1,Hammersmith and Fulham,Private room,2,1,$52.00,42,298,4.52
875754,Townhouse in Enfield · ★4.44 · 3 bedrooms · 3 beds · 1 bath,2896963,Sid,10-07-2012,"London, United Kingdom",67%,32%,0,6,1,Enfield,Entire home/apt,3,3,$150.00,312,33,4.44
728581,Rental unit in London · ★4.75 · 2 bedrooms · 1 bed · 1 bath,3215001,Lorna And Anders,10-08-2012,"London, United Kingdom",100%,88%,0,2,1,Southwark,Entire home/apt,3,1,$70.00,3,28,4.75
4956035,Rental unit in London · 2 bedrooms · 2 beds · 1 bath,25545925,Mark,03-01-2015,"Brighton, United Kingdom",N/A,N/A,0,3,1,Merton,Entire home/apt,4,2,$140.00,113,0,
754867,Rental unit in Surbiton Surrey · ★4.69 · 2 bedrooms · 4 beds · 1 bath,1794020,Martin,22-02-2012,"Claygate, United Kingdom",100%,97%,1,5,1,Kingston upon Thames,Entire home/apt,6,4,$122.00,341,59,4.69
4970913,Home in London · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,25626337,Myriam,05-01-2015,"London, United Kingdom",N/A,100%,0,1,0,Lambeth,Private room,2,1,$24.00,4,40,4.83
942747,Home in London · ★4.76 · 1 bedroom · 1 bed · 1 bath,5099394,Hod,15-02-2013,"London, United Kingdom",N/A,0%,0,1,0,Barnet,Private room,2,1,$40.00,99,17,4.76
5000458,Townhouse in London · ★4.99 · 1 bedroom · 1 bed · 1 shared bath,25786152,Sally,08-01-2015,"London, United Kingdom",100%,92%,1,4,1,Wandsworth,Private room,2,1,$45.00,18,168,4.99
5034202,Rental unit in London · 1 bedroom · 1 bed · 1 bath,25987924,Alexandra,12-01-2015,"London, United Kingdom",N/A,N/A,0,1,0,Westminster,Private room,2,1,,0,2,5
983697,Rental unit in London · ★4.69 · 2 bedrooms · 2 beds · 1 bath,5392587,Barry,09-03-2013,"London, United Kingdom",N/A,N/A,0,2,1,Camden,Entire home/apt,4,2,$95.00,0,93,4.69
5059970,Condo in London · ★4.94 · 2 bedrooms · 2 beds · 1 shared bath,24546469,Anna Lee,06-12-2014,"London, United Kingdom",100%,47%,0,3,1,Greenwich,Private room,1,2,$43.00,0,17,4.94
5078258,Rental unit in London · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,3536740,Jane,11-09-2012,"England, United Kingdom",100%,100%,0,3,1,Wandsworth,Private room,2,1,$69.00,71,38,4.87
